amount,hour_of_day,is_foreign,distance_from_home_km,geo_velocity_kmh,new_device,tx_count_last_1h,tx_count_last_5m,avg_amount_deviation,burst_count_last_1m,device_tx_count_24h,merchant_risk_score,card_age_risk,profile_avg_spend,seconds_since_last_tx,is_fraud
4173.36,17,0,112.71,13.84,0,5.85,0.36,0.3549,0.96,2.33,0.2,0.1325,3080.16,8839.93,0
4928.43,10,0,46.22,69.19,0,2.27,1.42,0.6927,0.0,5.63,0.2,0.2615,2911.55,13454.77,0
3040.93,9,0,113.86,110.49,0,4.12,1.33,0.3269,0.12,5.5,0.2,0.2521,4517.83,12603.67,0
4524.42,13,0,50.45,112.84,0,4.39,1.81,0.0244,0.62,2.5,0.2,0.2644,4637.44,1806.58,0
4723.88,17,0,55.8,53.06,0,2.07,0.95,0.3754,0.9,4.98,0.2,0.1509,3434.5,3173.69,0
2814.47,14,0,80.74,26.96,0,2.0,0.05,0.3527,0.24,3.38,0.2,0.3549,4348.23,2979.82,0
1716.59,19,0,59.33,29.28,0,4.28,0.01,0.6039,0.75,4.85,0.2,0.132,4333.94,8687.37,0
95642.61,0,1,8306.75,565.29,1,12.65,5.66,15.4593,4.68,9.17,0.8888,0.6213,5810.85,489.93,1
7273.47,21,0,107.66,89.24,0,3.37,0.52,1.1265,0.25,4.19,0.2,0.3297,3420.33,10245.06,0
804.37,16,0,28.14,40.3,0,5.47,0.16,0.706,0.15,2.92,0.2,0.1458,2735.69,5266.04,0
3834.21,8,0,24.82,50.42,0,5.52,1.17,0.2828,0.7,5.28,0.2,0.3297,2988.97,7962.17,0
136858.15,3,1,6770.93,1209.87,0,12.88,4.36,43.3925,4.46,9.89,0.8672,0.7991,3082.91,435.89,1
7849.63,7,0,108.83,71.03,0,4.31,0.17,0.3923,0.43,5.33,0.2,0.1545,5637.94,6014.53,0
2832.5,19,0,33.39,114.14,0,3.11,1.67,0.2012,0.47,4.75,0.2,0.1156,3546.15,17221.1,0
7666.83,8,0,90.51,113.95,0,2.0,0.04,3.2387,0.15,1.63,0.2,0.3008,1808.78,10936.31,0
6181.81,12,0,72.71,115.65,0,4.59,1.56,0.3301,0.16,2.56,0.2,0.2736,4647.59,16847.97,0
3127.39,13,0,9.12,82.87,0,4.14,0.2,0.4401,0.77,5.25,0.2,0.2801,5586.12,3761.09,0
2908.19,20,0,79.38,8.27,0,4.24,0.03,0.4209,0.42,3.45,0.2,0.2301,5021.86,7667.45,0
1393.33,12,0,88.06,115.86,0,2.35,1.62,0.6096,0.54,3.42,0.2,0.2307,3568.83,13642.62,0
6679.7,9,0,33.47,54.1,0,4.75,1.14,0.2526,0.67,2.68,0.2,0.2483,5332.71,7065.23,0
2215.15,15,0,105.64,84.14,0,2.38,0.02,0.2847,0.95,1.43,0.2,0.316,3096.71,9714.96,0
5238.04,22,0,53.78,2.07,0,2.47,0.81,0.1368,0.24,4.32,0.2,0.2107,4607.74,10766.26,0
4493.03,18,0,84.34,32.51,0,2.26,0.24,0.2493,0.19,1.6,0.2,0.2608,5984.84,14147.47,0
3976.75,16,0,117.66,99.92,0,2.48,0.72,0.6076,0.3,4.54,0.2,0.138,2473.73,2537.35,0
170215.68,23,0,4723.38,1279.08,0,12.69,5.2,59.4757,3.55,6.51,0.9353,0.6389,2814.61,494.16,1
5109.68,8,0,18.21,97.34,0,5.75,0.17,1.787,0.25,3.79,0.2,0.2249,1833.37,11457.25,0
3166.95,21,0,35.68,70.62,0,3.14,1.14,0.3654,0.06,5.8,0.2,0.1298,4990.62,14156.34,0
833.26,14,0,20.86,9.01,0,1.01,0.9,0.6903,0.59,2.46,0.2,0.1694,2690.91,13252.68,0
5561.6,15,0,94.54,75.01,0,4.31,1.87,0.5697,0.43,3.72,0.2,0.2943,3543.14,16516.27,0
1494.2,16,0,71.41,98.91,0,5.61,0.88,0.1796,0.47,2.52,0.2,0.2208,1821.34,6210.39,0
4864.69,20,0,88.14,72.45,0,1.13,0.46,0.402,0.67,5.3,0.2,0.2761,3469.91,2136.08,0
4694.73,12,0,56.46,78.18,0,5.58,0.36,0.0965,0.59,4.17,0.2,0.2475,5196.4,3278.13,0
5427.04,12,0,39.58,83.24,0,2.44,1.89,0.8091,0.81,3.75,0.2,0.2364,2999.89,6895.18,0
3352.57,7,0,78.92,65.11,0,3.07,0.38,0.4285,0.36,4.78,0.2,0.2876,5865.83,14111.85,0
7435.85,21,0,105.7,58.17,0,1.14,1.26,0.8723,0.8,4.55,0.2,0.1932,3971.49,2021.53,0
6762.96,10,0,55.37,14.1,0,5.16,1.0,1.6932,0.72,3.54,0.2,0.182,2511.15,15322.53,0
4499.87,19,0,22.87,71.93,0,4.73,0.27,0.7329,0.07,4.86,0.2,0.3563,2596.79,7305.98,0
220.01,16,0,100.5,69.59,0,4.3,1.73,0.9186,0.45,3.42,0.2,0.1997,2702.28,14158.54,0
6982.89,14,0,68.62,28.03,0,4.88,0.09,0.2255,0.74,4.53,0.2,0.3434,5697.84,8054.48,0
7850.38,22,0,115.78,15.15,0,5.83,0.66,0.5116,0.1,5.23,0.2,0.1299,5193.36,16549.16,0
157413.27,1,1,7164.81,701.77,0,11.97,3.4,72.2598,3.99,12.74,0.8334,0.8771,2148.7,377.95,1
4419.92,9,0,28.17,82.13,0,2.44,0.45,0.1959,0.09,5.89,0.2,0.3281,3695.76,13203.03,0
57406.56,0,1,7287.61,728.7,1,9.46,5.66,24.5294,4.7,13.93,0.7425,0.4395,2248.64,523.15,1
7320.07,11,0,27.86,76.55,0,3.3,1.33,1.8331,0.9,3.33,0.2,0.1863,2583.73,10654.89,0
177839.05,2,1,4164.2,687.59,0,9.99,4.92,29.9094,4.45,8.37,0.843,0.6874,5753.56,595.65,1
5334.19,15,0,0.97,103.81,0,4.89,1.95,0.096,0.91,4.73,0.2,0.3499,5900.75,16427.55,0
6455.07,14,0,76.39,74.51,0,4.39,1.44,1.5458,0.66,5.19,0.2,0.2885,2535.53,16435.14,0
3638.42,18,0,87.88,10.82,0,2.48,1.49,0.2589,0.18,1.66,0.2,0.2618,2890.2,17538.13,0
6677.69,15,0,109.69,113.3,0,5.84,0.59,0.1902,0.87,5.02,0.2,0.2405,5610.69,3019.85,0
5475.33,19,0,116.07,96.55,0,2.83,1.58,1.1768,0.01,3.68,0.2,0.2364,2515.27,12699.82,0
6614.85,18,0,13.0,28.06,0,1.13,1.77,0.6015,0.56,5.58,0.2,0.1664,4130.52,2824.12,0
2557.08,20,0,14.0,5.44,0,1.19,1.99,0.5427,0.12,2.17,0.2,0.2613,5592.24,8096.06,0
5632.58,20,0,70.48,87.19,0,5.43,1.31,0.0242,0.83,4.08,0.2,0.3817,5772.21,6331.79,0
3668.63,14,0,102.65,11.92,0,4.43,1.09,0.4807,0.98,2.79,0.2,0.2194,2477.71,4874.9,0
84575.54,23,1,5971.74,1372.54,1,11.34,7.94,14.9092,5.36,8.05,0.9075,0.6771,5316.15,353.9,1
6240.07,7,0,33.27,118.08,0,5.94,1.08,1.4485,0.8,1.55,0.2,0.3599,2548.49,3935.21,0
4793.05,7,0,20.91,6.29,0,4.71,1.05,0.0505,0.75,3.38,0.2,0.3334,5047.94,10114.45,0
170447.74,0,0,8233.51,1075.96,1,14.43,3.16,44.2443,6.0,14.47,0.8066,0.454,3767.27,428.88,1
2712.47,11,0,7.88,33.0,0,4.17,1.1,0.511,0.33,5.97,0.2,0.2592,5546.7,9150.19,0
5673.88,13,0,51.61,106.57,0,3.07,1.65,1.9152,0.4,4.65,0.2,0.1938,1946.3,6862.88,0
5557.2,22,0,8.06,99.81,0,1.47,0.19,0.0404,0.74,5.06,0.2,0.2669,5791.17,11300.73,0
1153.4,18,0,104.83,112.94,0,3.11,1.83,0.6134,0.05,2.44,0.2,0.1937,2983.41,3478.33,0
3961.08,10,0,42.01,66.75,0,1.57,0.56,0.8035,0.23,3.15,0.2,0.2683,2196.29,14232.41,0
4542.57,15,0,3.47,32.79,0,4.81,1.84,0.0011,0.35,1.91,0.2,0.143,4537.4,12448.98,0
175066.81,0,0,2407.12,848.84,1,11.7,6.61,35.213,5.33,11.68,0.7212,0.4263,4834.36,98.66,1
2322.4,20,0,58.28,53.05,0,2.37,1.51,0.4877,0.11,3.15,0.2,0.185,4532.86,12791.48,0
554.26,19,0,118.13,6.57,0,2.02,1.89,0.8769,0.77,4.82,0.2,0.1868,4502.1,3743.75,0
1207.65,14,0,60.03,100.0,0,5.03,0.14,0.6487,0.86,1.21,0.2,0.1056,3437.95,16722.83,0
4672.52,20,0,34.74,48.6,0,5.83,0.34,0.1422,0.95,3.3,0.2,0.3069,4090.92,7662.01,0
3598.28,19,0,62.88,47.49,0,2.55,0.68,0.8206,0.33,1.84,0.2,0.2531,1976.38,3647.23,0
2925.13,11,0,28.35,17.57,0,1.99,1.2,0.4755,0.76,4.28,0.2,0.1531,5576.65,14320.14,0
6127.04,21,0,81.74,105.85,0,4.21,1.97,0.2517,0.32,5.85,0.2,0.1948,4895.01,8924.16,0
6411.37,8,0,42.23,8.9,0,3.31,0.08,0.4769,0.37,2.44,0.2,0.2934,4341.23,17633.37,0
72284.43,4,1,7251.27,1301.08,1,16.1,6.26,16.3204,3.96,10.76,0.7377,0.4309,4173.36,66.58,1
5771.66,12,0,4.7,84.91,0,5.95,1.05,0.8952,0.61,2.82,0.2,0.3754,3045.47,8076.15,0
608.45,17,0,7.91,11.34,0,4.39,0.57,0.8664,0.72,4.28,0.2,0.3719,4555.04,15947.13,0
1303.14,18,0,37.23,78.73,0,4.31,0.26,0.6839,0.71,1.42,0.2,0.2677,4122.33,12224.59,0
5682.08,9,0,77.52,50.81,0,2.81,0.73,1.7383,0.18,2.07,0.2,0.3843,2075.07,9677.59,0
801.89,10,0,60.92,64.77,0,4.69,1.05,0.6216,0.66,5.38,0.2,0.2854,2119.04,11475.39,0
126247.99,4,0,1990.53,865.79,1,14.76,4.19,53.5629,4.33,8.85,0.8871,0.6245,2313.81,322.74,1
3858.32,13,0,44.14,113.66,0,5.92,0.92,0.2492,0.28,2.91,0.2,0.2582,5138.81,17453.54,0
1279.51,15,0,6.26,57.67,0,2.86,1.87,0.7494,0.71,3.58,0.2,0.1374,5105.67,3158.78,0
94836.73,3,1,8248.24,1225.87,0,17.3,5.07,25.9274,4.19,9.74,0.7965,0.4408,3521.94,138.6,1
5774.69,17,0,94.97,16.51,0,2.43,1.66,1.9677,0.7,1.69,0.2,0.3117,1945.87,9067.34,0
49786.69,1,1,6708.77,951.38,1,10.88,4.51,25.8173,3.14,10.2,0.8985,0.6286,1856.52,70.96,1
328.2,14,0,86.23,34.95,0,1.01,0.71,0.9216,0.57,1.94,0.2,0.3005,4185.33,10280.45,0
4443.84,7,0,46.85,56.42,0,4.18,1.96,0.2325,0.25,1.08,0.2,0.3366,5790.32,7385.8,0
6217.71,17,0,16.01,42.28,0,2.69,1.29,0.4369,0.83,4.42,0.2,0.3942,4327.16,9552.2,0
5785.15,21,0,4.44,24.19,0,4.96,1.77,1.7459,0.32,2.55,0.2,0.2195,2106.84,15009.58,0
5245.82,16,0,42.84,93.7,0,5.33,0.66,2.151,0.12,2.84,0.2,0.3668,1664.79,13841.58,0
7795.04,22,0,83.05,44.08,0,4.99,0.53,1.406,0.08,3.12,0.2,0.2292,3239.9,17920.59,0
1000.26,17,0,79.31,36.78,0,4.01,0.85,0.6455,0.69,2.76,0.2,0.1127,2821.95,15894.6,0
2341.53,8,0,9.0,76.5,0,2.82,1.6,0.6092,0.68,5.76,0.2,0.1428,5991.68,11642.68,0
724.42,18,0,43.46,113.94,0,1.16,0.31,0.5627,0.45,2.85,0.2,0.2332,1656.6,3045.54,0
60017.45,2,1,1552.97,1148.89,1,11.87,5.81,18.0455,3.79,8.6,0.8116,0.8982,3151.27,174.92,1
1156.57,9,0,54.25,107.84,0,3.23,0.18,0.6883,0.68,5.23,0.2,0.1959,3710.4,7428.29,0
160983.04,1,0,8389.53,1055.82,0,13.09,3.61,39.861,3.6,7.39,0.8976,0.4131,3939.77,334.64,1
4502.85,9,0,7.89,47.78,0,4.58,0.96,0.1199,0.41,3.05,0.2,0.2725,5116.48,3830.29,0
3833.5,18,0,15.4,99.49,0,3.76,1.18,1.0905,0.77,1.65,0.2,0.2509,1833.74,15865.03,0
2572.17,12,0,38.72,85.12,0,2.73,1.88,0.3287,0.89,5.23,0.2,0.1752,3831.46,12087.92,0
2562.03,9,0,60.31,20.24,0,5.71,0.31,0.2417,0.66,4.6,0.2,0.2815,2063.27,15448.99,0
421.31,8,0,113.83,92.52,0,2.32,0.42,0.9192,0.57,4.09,0.2,0.1091,5213.56,16201.75,0
2556.33,14,0,96.56,82.2,0,2.49,0.15,0.4175,0.06,3.2,0.2,0.2453,4388.58,5105.17,0
5803.23,18,0,117.04,15.69,0,2.85,1.12,0.9966,0.32,3.33,0.2,0.1802,2906.62,5816.29,0
72226.22,4,1,8686.56,1307.2,0,17.34,6.61,24.7403,3.57,7.59,0.949,0.6334,2805.95,528.05,1
3267.29,21,0,116.0,25.82,0,2.76,0.1,0.7149,0.49,5.41,0.2,0.2963,1905.22,9423.51,0
3561.24,15,0,87.3,91.66,0,2.83,0.8,0.3296,0.57,1.97,0.2,0.266,5312.28,2991.21,0
2381.82,10,0,15.44,11.6,0,2.87,1.97,0.5178,0.56,2.83,0.2,0.1433,4939.82,11559.9,0
503.53,17,0,96.48,62.32,0,1.74,1.79,0.7005,0.14,5.66,0.2,0.1956,1681.15,8165.86,0
4831.05,22,0,85.05,35.97,0,5.08,0.74,0.0871,0.67,5.9,0.2,0.2751,5291.71,14707.43,0
407.85,22,0,31.86,78.67,0,5.86,1.16,0.9113,0.23,1.26,0.2,0.2441,4596.2,10292.56,0
3165.48,14,0,3.79,113.78,0,1.55,0.04,0.3651,0.31,1.76,0.2,0.3072,4985.73,8448.11,0
7007.98,8,0,84.69,62.24,0,3.8,2.0,0.242,0.48,2.88,0.2,0.387,5642.34,9246.55,0
5471.77,15,0,73.21,23.07,0,2.23,1.12,0.3824,0.22,5.86,0.2,0.1893,3958.23,6481.87,0
2672.92,18,0,67.26,112.14,0,4.61,0.58,0.4279,0.57,3.72,0.2,0.3687,4672.45,8191.43,0
1342.51,8,0,34.52,85.7,0,2.73,0.88,0.7304,0.26,3.4,0.2,0.1606,4978.79,10524.96,0
1270.73,14,0,29.09,80.38,0,3.66,1.28,0.7257,0.05,3.07,0.2,0.3152,4632.77,3428.83,0
4492.75,12,0,48.83,112.2,0,5.39,0.95,1.9493,0.2,5.82,0.2,0.1964,1523.32,12263.55,0
4678.24,8,0,109.59,21.01,0,5.41,0.35,1.4589,0.92,5.99,0.2,0.2191,1902.57,9825.22,0
7423.11,8,0,1.11,68.16,0,1.54,1.97,0.2733,0.28,5.95,0.2,0.263,5829.59,9801.38,0
3850.56,13,0,97.06,39.68,0,4.66,1.3,0.2775,0.72,1.07,0.2,0.2011,5329.77,6579.39,0
4965.45,19,0,99.24,61.83,0,1.43,1.34,1.0958,0.18,1.7,0.2,0.1971,2369.23,5818.36,0
6079.3,17,0,36.23,86.75,0,1.06,1.31,1.3749,0.69,1.31,0.2,0.1355,2559.85,6770.26,0
7181.92,16,0,82.83,76.65,0,5.7,0.74,0.9094,0.22,5.79,0.2,0.2435,3761.34,9170.65,0
5675.14,22,0,90.88,96.24,0,5.13,1.52,0.7839,0.68,3.98,0.2,0.3362,3181.31,10313.21,0
7354.51,10,0,7.41,65.72,0,3.53,1.15,1.3512,0.15,2.64,0.2,0.2561,3128.03,3683.09,0
909.34,21,0,97.04,54.41,0,3.57,0.91,0.7795,0.06,3.31,0.2,0.3421,4124.16,13517.14,0
6017.27,9,0,5.43,41.34,0,1.32,1.99,0.163,0.93,1.35,0.2,0.3801,5174.04,2314.1,0
6173.46,20,0,44.94,106.96,0,3.24,1.83,0.2446,0.38,1.4,0.2,0.3892,4960.37,15967.77,0
25760.8,4,1,1669.72,1379.79,0,15.56,7.89,3.796,4.39,13.19,0.806,0.5896,5371.29,141.65,1
1670.15,10,0,3.87,79.22,0,4.07,1.87,0.2402,0.89,2.2,0.2,0.1202,2198.05,11421.9,0
7003.26,14,0,88.86,48.27,0,2.17,0.43,0.548,0.86,1.28,0.2,0.2512,4524.11,6486.07,0
2687.45,17,0,28.43,105.15,0,5.93,1.04,0.4392,0.41,2.38,0.2,0.267,4791.83,11385.01,0
5494.25,22,0,5.63,41.33,0,4.22,0.76,1.4012,0.52,4.48,0.2,0.2225,2288.1,6658.19,0
2079.55,14,0,36.09,84.91,0,5.03,1.83,0.4696,0.56,5.84,0.2,0.2672,3920.68,3972.3,0
5244.31,21,0,101.66,11.1,0,4.62,0.38,1.1715,0.27,4.37,0.2,0.2809,2415.02,15952.65,0
5849.58,13,0,57.53,104.34,0,2.66,1.91,0.1871,0.02,5.69,0.2,0.3886,4927.63,3700.52,0
2092.23,13,0,47.6,28.72,0,2.61,0.57,0.4276,0.47,4.24,0.2,0.1925,3655.14,7626.24,0
6461.97,22,0,91.4,38.43,0,2.02,0.63,0.7965,0.05,5.32,0.2,0.3224,3597.02,2062.76,0
5816.09,16,0,18.29,39.58,0,2.9,1.67,0.4089,0.5,4.27,0.2,0.3055,4128.14,5968.69,0
5205.22,22,0,55.3,87.93,0,2.76,0.28,0.1101,0.55,1.92,0.2,0.3668,5849.29,17843.24,0
6744.73,9,0,113.42,80.19,0,4.82,0.82,0.7484,0.84,2.16,0.2,0.3122,3857.75,1948.09,0
5019.11,22,0,79.11,1.89,0,3.66,0.82,0.5786,0.02,4.61,0.2,0.2607,3179.4,6444.35,0
3558.47,12,0,12.84,11.56,0,1.74,0.38,0.2331,0.53,5.08,0.2,0.1802,4640.37,8229.72,0
4607.02,14,0,36.0,99.37,0,1.4,1.98,0.3847,0.65,1.16,0.2,0.2216,3327.12,7910.15,0
5682.19,9,0,59.98,52.07,0,4.92,1.13,0.3017,0.86,1.48,0.2,0.2584,4365.37,2489.34,0
7122.92,22,0,32.53,110.9,0,4.42,0.56,0.3175,0.54,4.29,0.2,0.1538,5406.53,15576.93,0
30233.52,23,0,8402.55,734.31,0,13.67,7.25,11.4305,5.03,11.41,0.796,0.7699,2432.21,475.35,1
6014.56,18,0,6.44,52.45,0,5.19,0.68,2.246,0.77,5.77,0.2,0.219,1852.92,14331.59,0
178702.53,3,1,5245.52,806.66,1,13.86,4.9,64.4595,5.32,8.95,0.7616,0.4368,2729.97,164.44,1
1403.36,19,0,38.0,12.79,0,1.03,0.62,0.7209,0.36,2.35,0.2,0.1398,5027.51,4835.75,0
3382.74,7,0,10.75,66.51,0,3.98,1.57,0.1535,0.86,1.06,0.2,0.2241,3996.33,14422.54,0
7943.3,14,0,68.64,20.35,0,2.9,0.28,0.977,0.3,3.47,0.2,0.119,4017.91,8841.76,0
799.99,15,0,113.31,86.51,0,3.48,1.23,0.7826,0.46,1.68,0.2,0.102,3679.04,8210.21,0
6925.15,21,0,40.17,97.86,0,5.3,1.95,1.1577,0.14,2.6,0.2,0.3842,3209.5,5053.79,0
7756.06,16,0,88.18,75.95,0,5.84,1.56,0.328,0.33,2.4,0.2,0.3358,5840.59,7713.25,0
7978.67,12,0,81.81,66.01,0,5.77,0.92,2.3257,0.71,3.19,0.2,0.1874,2399.1,13023.93,0
3391.3,22,0,16.7,36.34,0,2.26,0.31,0.3325,0.42,2.88,0.2,0.2347,5080.46,11486.53,0
7403.27,20,0,65.24,94.89,0,2.8,1.79,0.896,0.54,4.19,0.2,0.1255,3904.65,14257.06,0
5246.6,8,0,67.59,77.4,0,4.23,1.93,0.6938,0.33,4.98,0.2,0.1318,3097.54,3397.43,0
4552.35,14,0,53.49,46.94,0,4.86,1.18,0.0635,0.5,2.72,0.2,0.1074,4860.84,3493.7,0
1105.34,11,0,41.8,41.17,0,4.92,1.04,0.8103,0.35,1.49,0.2,0.3166,5827.78,9129.64,0
129386.32,0,0,6042.95,1093.28,1,17.84,4.22,75.0616,3.52,7.6,0.84,0.8792,1701.07,142.95,1
5195.74,20,0,47.47,88.49,0,5.42,0.9,1.2299,0.43,1.02,0.2,0.1644,2330.03,6309.19,0
4703.31,12,0,43.9,23.65,0,1.57,1.34,0.0745,0.49,5.83,0.2,0.194,5082.04,8095.96,0
2945.48,21,0,74.08,97.65,0,4.53,0.59,0.4625,0.61,1.42,0.2,0.1402,2014.04,3709.36,0
5608.81,19,0,50.19,16.54,0,2.92,0.37,1.4137,0.64,4.47,0.2,0.2936,2323.7,17998.37,0
1294.31,17,0,101.04,74.33,0,5.33,1.9,0.6505,0.48,1.98,0.2,0.2152,3703.39,10897.63,0
4035.46,21,0,58.64,9.92,0,1.15,1.52,0.2078,0.29,2.37,0.2,0.2613,3341.1,4524.99,0
6174.17,10,0,68.73,32.15,0,3.72,1.98,0.2753,0.54,4.78,0.2,0.328,4841.33,8950.14,0
5940.71,14,0,35.73,119.92,0,3.25,0.7,0.7405,0.82,3.2,0.2,0.3982,3413.2,14365.23,0
4785.81,18,0,103.33,73.23,0,3.14,1.23,0.0704,0.78,5.07,0.2,0.3416,5148.16,11035.2,0
1513.34,16,0,34.72,32.08,0,5.29,1.97,0.6385,0.68,1.48,0.2,0.3888,4185.86,14528.19,0
6962.97,11,0,84.17,15.92,0,1.73,0.64,0.1671,0.25,5.22,0.2,0.2178,5966.19,4103.18,0
3126.34,9,0,76.04,105.62,0,1.47,1.03,0.2772,0.28,5.68,0.2,0.2107,4325.16,17194.12,0
6238.26,9,0,87.71,55.01,0,4.32,0.72,3.1282,0.06,3.67,0.2,0.1653,1511.13,8760.22,0
6661.08,17,0,65.68,15.67,0,5.26,1.58,1.4594,0.89,4.81,0.2,0.1138,2708.42,11944.11,0
7449.58,12,0,52.95,0.08,0,5.79,0.4,3.7351,0.69,1.66,0.2,0.295,1573.27,4375.43,0
5305.79,15,0,9.89,79.74,0,4.24,0.1,0.9413,0.63,4.63,0.2,0.3266,2733.09,8753.54,0
42348.71,0,1,2500.0,1095.98,1,14.96,7.09,20.9614,5.96,10.22,0.733,0.4354,1928.33,232.93,1
2644.14,16,0,16.46,92.82,0,4.77,0.27,0.3484,0.99,1.71,0.2,0.2592,1960.92,1937.29,0
5834.97,11,0,110.39,73.93,0,3.21,0.43,0.6765,0.9,1.7,0.2,0.1369,3480.45,13626.15,0
6370.4,14,0,33.24,10.11,0,3.77,1.2,0.856,0.61,4.89,0.2,0.3071,3432.25,15535.85,0
4238.44,13,0,89.74,35.47,0,1.27,1.8,0.4833,0.95,3.47,0.2,0.1338,2857.42,9893.24,0
7826.04,18,0,112.07,15.84,0,5.3,1.14,1.0184,0.37,4.41,0.2,0.3288,3877.29,17262.14,0
726.75,15,0,25.89,110.71,0,5.74,0.8,0.5386,0.29,4.56,0.2,0.3301,1575.1,8661.92,0
4393.71,11,0,33.3,37.19,0,3.56,0.41,0.0026,0.81,3.68,0.2,0.2172,4382.42,12075.57,0
715.7,20,0,87.6,101.58,0,1.29,0.17,0.8432,0.43,3.27,0.2,0.2826,4564.75,6810.5,0
1131.66,11,0,84.18,19.66,0,5.77,1.05,0.7658,0.78,4.6,0.2,0.1501,4832.96,3856.28,0
7114.04,7,0,40.2,51.52,0,3.62,0.53,1.6256,0.98,4.14,0.2,0.2488,2709.44,10074.67,0
34204.24,1,1,1464.4,995.22,0,10.28,5.54,5.3729,3.13,14.63,0.7611,0.6359,5367.12,232.87,1
155059.91,4,0,6597.77,1072.92,1,10.48,7.58,26.2502,3.96,14.26,0.8429,0.4597,5690.22,405.63,1
95260.47,0,0,1178.98,891.84,1,16.45,4.64,37.0383,4.66,6.08,0.7502,0.6819,2504.33,185.83,1
4815.19,22,0,119.73,93.11,0,4.66,1.09,0.3421,0.8,1.75,0.2,0.3797,3587.67,2187.35,0
5608.99,7,0,114.12,0.18,0,4.29,1.7,0.286,0.73,1.52,0.2,0.2589,4361.74,5658.32,0
7976.28,15,0,11.16,110.55,0,5.49,1.04,3.5076,0.7,2.86,0.2,0.3924,1769.53,3175.42,0
148493.51,0,1,1123.18,1079.32,1,10.92,7.25,69.6839,5.78,9.93,0.908,0.5631,2100.81,274.39,1
1261.67,10,0,18.65,19.72,0,3.33,0.81,0.7804,0.54,5.82,0.2,0.1623,5746.0,6794.59,0
