transaction_id,decision,risk_score,is_fraud,valid_card,issuer,masked_card_number,known_fraud_label,normalized_user_id,reasons
ec750710-4f30-4403-8edf-91a61703f96c_row_11,blocked,0.3023,True,True,VISA,**** **** **** 9623,,user_002,is_foreign impact=-0.1156 | card_age_risk impact=-0.0830 | merchant_risk_score impact=-0.0828 | amount impact=-0.0670 | new_device impact=+0.0433 | Multiple transactions in seconds | First seen device
ec750710-4f30-4403-8edf-91a61703f96c_row_12,blocked,0.2984,True,True,MASTERCARD,**** **** **** 0606,,user_003,is_foreign impact=-0.1150 | card_age_risk impact=-0.0829 | merchant_risk_score impact=-0.0827 | amount impact=-0.0672 | new_device impact=+0.0432 | Multiple transactions in seconds | First seen device
ec750710-4f30-4403-8edf-91a61703f96c_row_13,blocked,0.3411,True,True,MASTERCARD,**** **** **** 4230,,user_001,is_foreign impact=-0.1185 | merchant_risk_score impact=-0.0854 | card_age_risk impact=-0.0848 | amount impact=-0.0706 | new_device impact=+0.0462 | Multiple transactions in seconds | First seen device
ec750710-4f30-4403-8edf-91a61703f96c_row_14,blocked,0.3267,True,True,VISA,**** **** **** 9623,,user_002,is_foreign impact=-0.1162 | merchant_risk_score impact=-0.0830 | card_age_risk impact=-0.0826 | amount impact=-0.0682 | new_device impact=+0.0449 | Multiple transactions in seconds | First seen device
ec750710-4f30-4403-8edf-91a61703f96c_row_15,blocked,0.3238,True,True,MASTERCARD,**** **** **** 0606,,user_003,is_foreign impact=-0.1159 | merchant_risk_score impact=-0.0826 | card_age_risk impact=-0.0825 | amount impact=-0.0681 | new_device impact=+0.0448 | Multiple transactions in seconds | First seen device
ec750710-4f30-4403-8edf-91a61703f96c_row_16,blocked,0.3468,True,True,MASTERCARD,**** **** **** 4230,,user_001,is_foreign impact=-0.1175 | card_age_risk impact=-0.0848 | merchant_risk_score impact=-0.0844 | amount impact=-0.0710 | new_device impact=+0.0490 | Multiple transactions in seconds | First seen device
ec750710-4f30-4403-8edf-91a61703f96c_row_17,blocked,0.3358,True,True,VISA,**** **** **** 9623,,user_002,is_foreign impact=-0.1156 | card_age_risk impact=-0.0828 | merchant_risk_score impact=-0.0819 | amount impact=-0.0685 | new_device impact=+0.0478 | Multiple transactions in seconds | First seen device
ec750710-4f30-4403-8edf-91a61703f96c_row_18,blocked,0.3313,True,True,MASTERCARD,**** **** **** 0606,,user_003,is_foreign impact=-0.1154 | card_age_risk impact=-0.0826 | merchant_risk_score impact=-0.0818 | amount impact=-0.0684 | new_device impact=+0.0477 | Multiple transactions in seconds | First seen device
ec750710-4f30-4403-8edf-91a61703f96c_row_19,blocked,0.3516,True,True,MASTERCARD,**** **** **** 4230,,user_001,is_foreign impact=-0.1161 | card_age_risk impact=-0.0833 | merchant_risk_score impact=-0.0831 | amount impact=-0.0701 | new_device impact=+0.0493 | Multiple transactions in seconds | First seen device
ec750710-4f30-4403-8edf-91a61703f96c_row_20,blocked,0.3452,True,True,VISA,**** **** **** 9623,,user_002,is_foreign impact=-0.1147 | card_age_risk impact=-0.0817 | merchant_risk_score impact=-0.0809 | amount impact=-0.0682 | new_device impact=+0.0482 | Multiple transactions in seconds | First seen device
ec750710-4f30-4403-8edf-91a61703f96c_row_21,blocked,0.337,True,True,MASTERCARD,**** **** **** 0606,,user_003,is_foreign impact=-0.1142 | card_age_risk impact=-0.0813 | merchant_risk_score impact=-0.0805 | amount impact=-0.0680 | new_device impact=+0.0480 | Multiple transactions in seconds | First seen device
